         187737016 function calls (186985993 primitive calls) in 30.155 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      134    0.001    0.000    0.002    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/_pypy_generic_alias.py:122(_make_parameters)
      240    0.000    0.000    0.002    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/ipaddress.py:1035(_is_subnet_of)
      160    0.000    0.000    0.001    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/_sha512.py:41(RND)
      536    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:100(acquire)
      480    0.001    0.000    0.001    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/ipaddress.py:1199(_parse_octet)
      180    0.000    0.000    0.001    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/ipaddress.py:609(__str__)
       60    0.001    0.000    0.001    0.000 /home/anon/work/bgpy_pkg/bgpy/simulation_frameworks/py_simulation_framework/py_simulation.py:246(_print_progress)
      536    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:125(release)
     1472    0.000    0.000    0.001    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/_sha512.py:22(<lambda>)
       60    0.000    0.000    0.001    0.000 /home/anon/work/bgpy_pkg/bgpy/simulation_frameworks/py_simulation_framework/scenarios/scenario.py:443(<dictcomp>)
        1    0.000    0.000    0.001    0.001 /home/anon/work/bgpy_pkg/bgpy/simulation_frameworks/py_simulation_framework/metric_tracker/metric_tracker.py:42(__add__)
        2    0.000    0.000    0.001    0.001 /home/anon/work/bgpy_pkg/bgpy/as_graphs/base/as_graph/as_graph.py:181(_default_as_group_filters)
      180    0.000    0.000    0.001    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/ipaddress.py:1235(_string_from_ip_int)
      662    0.001    0.000    0.001    0.000 {built-in function time.perf_counter}
      120    0.000    0.000    0.001    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/ipaddress.py:533(_split_addr_prefix)
      268    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
      540    0.001    0.000    0.001    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/dataclasses.py:1205(_is_dataclass_instance)
      240    0.000    0.000    0.001    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/functools.py:98(_le_from_lt)
     2196    0.001    0.000    0.001    0.000 {method '__setattr__' of 'MetricKey' objects}
      180    0.001    0.000    0.001    0.000 /home/anon/work/bgpy_pkg/bgpy/simulation_engines/cpp_simulation_engine/cpp_simulation_engine.py:66(<genexpr>)
      180    0.000    0.000    0.001    0.000 <string>:2(__init__)
     1472    0.001    0.000    0.001    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/_sha512.py:19(<lambda>)
        2    0.000    0.000    0.001    0.000 /home/anon/work/bgpy_pkg/bgpy/as_graphs/caida_as_graph/caida_as_graph_constructor.py:21(__init__)
      120    0.000    0.000    0.001    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/ipaddress.py:763(hostmask)
        2    0.000    0.000    0.001    0.000 /home/anon/work/bgpy_pkg/bgpy/as_graphs/base/as_graph_constructor.py:14(__init__)
        2    0.000    0.000    0.001    0.000 /home/anon/work/bgpy_pkg/bgpy/as_graphs/base/as_graph_collector.py:10(__init__)
       16    0.001    0.000    0.001    0.000 {method '__setattr__' of 'ScenarioConfig' objects}
       60    0.000    0.000    0.001    0.000 /home/anon/work/bgpy_pkg/bgpy/simulation_frameworks/py_simulation_framework/scenarios/scenario.py:434(<dictcomp>)
      285    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:198(cb)
      160    0.000    0.000    0.001    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/_sha512.py:25(<lambda>)
      420    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/ipaddress.py:584(__lt__)
      160    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/_sha512.py:24(<lambda>)
      187    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
      842    0.000    0.000    0.000    0.000 {built-in function _codecs.utf_8_encode}
      120    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/ipaddress.py:156(_split_optional_netmask)
      180    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/ipaddress.py:728(__eq__)
       62    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
      268    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:968(_sanity_check)
      720    0.000    0.000    0.000    0.000 {method '__setattr__' of 'DataKey' objects}
      180    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/functools.py:105(_ge_from_lt)
      128    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/_sha512.py:27(<lambda>)
      180    0.000    0.000    0.000    0.000 /home/anon/work/bgpy_pkg/bgpy/simulation_frameworks/py_simulation_framework/metric_tracker/metric.py:24(<dictcomp>)
       60    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/_pypy_generic_alias.py:48(__getattribute__)
      128    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/_sha512.py:26(<lambda>)
      120    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/ipaddress.py:736(__hash__)
        2    0.000    0.000    0.000    0.000 /home/anon/work/bgpy_pkg/bgpy/as_graphs/caida_as_graph/caida_as_graph_collector.py:37(default_dl_time)
      540    0.000    0.000    0.000    0.000 {built-in function hasattr}
      268    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
      194    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/_pypy_generic_alias.py:118(_is_typevar)
      162    0.000    0.000    0.000    0.000 <string>:2(__eq__)
      821    0.000    0.000    0.000    0.000 {built-in function _imp.acquire_lock}
     1320    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/ipaddress.py:574(__int__)
      330    0.000    0.000    0.000    0.000 {built-in function math.ceil}
      300    0.000    0.000    0.000    0.000 /home/anon/work/bgpy_pkg/bgpy/simulation_frameworks/py_simulation_framework/scenarios/scenario.py:354(_default_adopters)
   120/60    0.000    0.000    0.000    0.000 {method '__getattribute__' of 'GenericAlias' objects}
      150    0.000    0.000    0.000    0.000 {built-in function math.log}
       71    0.000    0.000    0.000    0.000 {method '__setattr__' of 'frozendict' objects}
      360    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/ipaddress.py:577(__eq__)
        3    0.000    0.000    0.000    0.000 /home/anon/work/bgpy_pkg/bgpy/simulation_frameworks/py_simulation_framework/metric_tracker/metric_tracker.py:23(__init__)
      180    0.000    0.000    0.000    0.000 /home/anon/work/bgpy_pkg/bgpy/simulation_engines/cpp_simulation_engine/cpp_simulation_engine.py:64(<genexpr>)
      120    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/ipaddress.py:1147(_make_netmask)
        3    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/pathlib.py:1170(mkdir)
        6    0.000    0.000    0.000    0.000 /home/anon/Downloads/pypy3.10-v7.3.13-linux64/lib/pypy3.10/pathlib.py:1092(stat)
